0x152CAC0F sceIoGetFdList
0xEAC02291 sceIoGetstat
0x49971DF6 sceIoIoctl
0x822ADD32 sceIoIoctlAsync
0x4AF513A8 sceIoLseek
0x0AACB55D sceIoLseek32
0x48DB6B84 sceIoLseek32Async
0x4E663B31 sceIoLseekAsync
0x5B43ECBC sceIoMkdir
0xED827C64 sceIoOpen
0xF650D5C6 sceIoOpenAsync
0xA7888994 sceIoPollAsync
0x49F9133C sceIoRead
0xB26FABF3 sceIoReadAsync
0x0296515A sceIoRemove
0xF222FBB8 sceIoRename
0x3EB60374 sceIoRmdir
0xD97B2DB5 sceIoSetAsyncCallback
0x36F4B89E sceIoSync
0x6DB8AE52 sceIoWaitAsync
0xA0DBCFE5 sceIoWaitAsyncCB
0x74518BA8 sceIoWrite
0x05D0AF13 sceIoWriteAsync
0x76C38EF8 sceMd5BlockInit
0xD2838FE7 sceMd5BlockResult
0xA323CE06 sceMd5BlockUpdate
0xB28BA097 sceMd5Digest
0x98404627 sceSha0BlockResult
0xADFEBE45 sceSha0BlockUpdate
0x1DEE07D0 sceSha0Digest
0x2858F73A sceSha1BlockInit
0xBC1133EF sceSha1BlockResult
0x2F94D77C sceSha1BlockUpdate
0xE7750AF2 sceSha1Digest
0x54335A4B sceSha224BlockInit
0x31B45609 sceSha224BlockResult
0xCC67AB29 sceSha224BlockUpdate
0xFC160741 sceSha224Digest
0xF7CCCB2C sceSha256BlockInit
0xEEB0898A sceSha0BlockInit
0x0E9B6ADC sceSha256BlockResult
0x22B0942B sceSha256BlockUpdate
0x3BED4A3C sceSha256Digest
0x9804B9D3 sceSha384BlockInit
0x4782DA06 sceSha384BlockResult
0x25B9EF78 sceSha384BlockUpdate
0x0878F79D sceSha384Digest
0x0242EBE6 sceSha512BlockInit
0x940F6B2E sceSha512BlockResult
0x8F193CA7 sceSha512BlockUpdate
0xA73ED979 sceSha512Digest
0xB2AFCAD7 pemuUtilityGetSystemParamInt
0x0B2E15ED _malloc_limit
0x8C26D893 pemuWaitEventFlagCB
0x074DD65C sceMp4TrackSampleBufDestruct
0xE06C2997 sceMp4GetAvcTrackInfoData
0xE93908CD sceMp4AacDecodeInit
0x6B3ED543 sceMp4GetNumberOfMetaData
0xDAADB186 sceMp4InitAu
0x2688898B sceMp4GetAvcAuWithoutSampleBuf
0x6F91D7FE sceMp4GetTrackEditList
0x28A4330E sceMp4GetAvcParamSet
0x58267E2F sceMp4TrackSampleBufPut
0x95ECDA7B sceMp4GetTrackNumOfEditList
0xEABF1B15 sceMp4TrackSampleBufFlush
0xCBDC55B8 sceMp4AacDecodeInitResource
0x361B36D7 sceMp4GetMetaDataInfo
0x4DCBBFF8 sceMp4GetAvcAu
0xEE70015C sceMp4GetAacAuWithoutSampleBuf
0x4DE52B6C sceMp4Delete
0x2873241E sceMp4GetAacAu
0x420060D7 sceMp4AacDecodeExit
0x34E60B2C sceMp4GetNumberOfSpecificTrack
0xADAF64D7 sceMp4UnregistTrack
0xDCDF0C46 sceMp4Init
0xE911E997 sceMp4GetMovieInfo
0xD563D9EA sceMp4SearchSyncSampleNum
0x2E4344E4 sceMp4AacDecode
0x8EF960F5 sceMp4RegistTrack
0xBC6E35D5 sceMp4AacDecodeTermResource
0x23D273B1 sceMp4TrackSampleBufAvailableSize
0x1922C80A sceMp4Finish
0x0BDF7F39 sceMp4TrackSampleBufConstruct
0xF0104C97 sceMp4GetAacTrackInfoData
0xBC44E493 sceMp4GetSampleNum
0x350FEF61 sceMp4Create
0x26EABF54 sceMp4GetSampleNumWithTimeStamp
0x00DD5007 sceMp4TrackSampleBufQueryMemSize
0x52CAC0A5 sceMp4GetMetaData
0x8C44D8F1 sceMp4PutSampleNum
0x4D26E812 sceMp4GetSampleInfo
0x9FDFAADD sceMp3ReserveMp3Handle
0x7BD4F2FD sceMp3ResetPlayPositionByFrame
0xACCBFEF8 sceMp3NotifyAddStreamData
0xB252277C sceMp3LowLevelInit
0xE73FEFFB sceMp3ResetPlayPosition
0xFA7B2388 sceMp3GetFrameNum
0x311F1F3B sceMp3GetSumDecodedSample
0xE2C7DC09 sceMp3InitResource
0xEFED685C sceMp3TermResource
0x28A0101B sceMp3SetLoopNum
0xC9C69739 sceMp3Init
0x638F6CC0 sceMp3EndEntry
0x0F049F15 sceMp3GetMp3ChannelNum
0x2868EDD5 sceMp3GetBitRate
0x8DEAFBF6 sceMp3GetMaxOutputSample
0x5FF11EDC sceMp3StartEntry
0x36EB20BE sceMp3GetSamplingRate
0x6885138E sceMp3GetInfoToAddStreamData
0xBB3DC88A sceMp3GetMPEGVersion
0x838FA3D6 sceMp3Decode
0xE5263688 sceMp3CheckStreamDataNeeded
0x8497B701 sceMp3GetLoopNum
0xDA5F6120 sceMp3LowLevelDecode
0xC11F291E sceMp3ReleaseMp3Handle
0xB35851AF sceAtracLowLevelDecode
0xB70E2879 sceAtracSetData
0x10417003 sceAtracSetHalfwayBufferAndGetID
0xB3D2A66D sceAtracReinit
0xB99419A6 sceAtracLowLevelInitDecoder
0xA471C396 _sceAtracGetContextAddress
0xAE43B936 sceAtracGetBufferInfoForResetting
0x55C9C71F sceAtracGetChannel
0xECC8CE58 sceAtracGetNextSample
0x310FD3D4 sceAtracSetHalfwayBuffer
0x980B06D6 sceAtracSetAA3DataAndGetID
0x1EBE2AF9 sceAtracSetMOutHalfwayBuffer
0x1747A5FC sceAtracGetStreamDataInfo
0x1CA9943B sceAtracSetAA3HalfwayBufferAndGetID
0xC954E625 sceAtracReleaseAtracID
0xB86D0CB4 sceAtracResetPlayPosition
0xC62EFDBB sceAtracDecodeData
0xE0984B29 sceAtracGetAtracID
0x70CC38FB sceAtracSetDataAndGetID
0x80AC502D sceAtracAddStreamData
0xC35F2801 sceAtracSetSecondBuffer
0x15971F2D sceAtracGetSecondBufferInfo
0x4F524B24 sceAtracSetLoopNum
0x934EE504 sceAtracGetRemainFrame
0xA5FF16BB sceAtracSetMOutHalfwayBufferAndGetID
0x402F0FBD sceAtracGetSoundSample
0x1A87CC00 sceAtracGetBitrate
0x09438D19 sceAtracGetOutputChannel
0xF4F53147 sceAtracGetBufferInfoForReseting
0xE07264EB sceAtracStartEntry
0x46B6710C sceAtracEndEntry
0x9885BE85 sceAtracGetMaxSample
0x6A64C200 sceAtracGetNextDecodePosition
0x6A5EEF1C sceAtracGetInternalErrorInfo
0x8947B81D sceAtracIsSecondBufferNeeded
0x437FE7C7 sceAtracGetLoopStatus
0x45D2DDDF sceAacGetInfoToAddStreamData
0xD344DB9B sceAacTermResource
0x8A4B71C8 sceAacExit
0x639DA4D3 sceAacGetSumDecodedSample
0xBAF3C5A1 sceAacGetLoopNum
0x99752676 sceAacInitResource
0x69BEF27B sceAacEndEntry
0x745C4C24 sceAacStartEntry
0x48A3DF78 sceAacGetMaxOutputSample
0x44A0B78C sceAacDecode
0x986F0E6F sceAacNotifyAddStreamData
0x49E27B31 sceAacSetLoopNum
0x2C58F2C9 sceAacResetPlayPosition
0x0311D4D8 sceAacCheckStreamDataNeeded
0x283CB4EE sceAacInit
0x53C627A0 isoIoDevctl
0xA7DC26B1 isoIoAddDrv
0xF6AC8593 isoIoPollAsync
0x102ACE9C isoIoWaitAsync
0x8F5FA1EE isoIoWaitAsyncCB
0x929B15D9 isoIoReopen
0x699EDE86 isoIoAssign
0xE551E18C isoIoSetAsyncCallback
0x65F7825D sceMpegGetUserdataAu
0x553EC869 sceMpegAvcDecode
0xE5B781BF sceMpegAvcDecodeDetail
0xE9D20CD3 sceMpegGetAvcNalAu
0x930417E9 sceMpegRingbufferDestruct
0x3EEAF999 sceMpegChangeGetAvcAuMode
0x8442E758 sceMpegNextAvcRpAu
0x0EE00BCB sceMpegAvcDecodeFlush
0xE411E095 sceMpegFlushStream
0x5351717F sceMpegAvcResourceGetAvcDecTopAddr
0xAFB313E3 sceMpegInit
0xFCB7D5ED sceMpegRingbufferQueryPackNum
0xE3FFBB7B sceMpegFinish
0x83B31063 sceMpegGetPcmAu
0xFB1C8DF3 sceMpegGetAvcEsAu
0x4B178119 sceMpegChangeGetAuMode
0x5BD073BF sceMpegAvcDecodeMode
0xD6FFC388 sceMpegRingbufferPut
0x3586E832 sceMpegQueryPcmEsSize
0x5DE4B14E sceMpegQueryMemSize
0x8E6381B0 sceMpegQueryUserdataEsSize
0xF6577521 sceMpegFreeAvcEsBuf
0xD5E80715 sceMpegQueryAtracEsSize
0x486C5A57 sceMpegGetAvcAu
0x0D9C349A sceMpegAvcCopyYCbCr
0x3552B04D sceMpegInitAu
0x7CCC28AF sceMpegAvcQueryYCbCrSize
0x9EF3953B sceMpegQueryStreamOffset
0x96E27EDA sceMpegAvcCsc
0x969C53BE sceMpegRegistStream
0xCB69DD57 sceMpegUnRegistStream
0xEC42B4FC sceMpegDelete
0x3FA59090 sceMpegQueryStreamSize
0x85C3A15B sceMpegAvcInitYCbCr
0x310AEC13 sceMpegFlushAllStream
0xDCC4EA83 sceMpegAvcDecodeStop
0x05D1EE05 sceMpegAtracDecode
0x5ADCC68C sceMpegAvcResourceFinish
0xC26F62CF sceMpegMallocAvcEsBuf
0x6BBC93E2 sceMpegAvcDecodeDetailIndex
0x193101AB sceMpegAvcResourceGetAvcEsBuf
0x93D85BDD sceMpegRingbufferAvailableSize
0x56CD4BFB sceMpegRingbufferQueryMemSize
0x84F8CAF3 sceMpegCreate
0x57A9211A sceMpegGetAtracAu
0xB1042327 sceMpegAvcDecodeYCbCr
0xD921E4CF sceMpegAvcDecodeStopYCbCr
0x7BCB3B35 sceMpegAvcConvertToYuv420
0x23E9529E sceMpegAvcResourceInit
0x1B7E7294 pemuUtilityNpSigninGetStatus
0x2D367005 pemuUtilityNpSigninShutdownStart
0xF9A9DEB1 pemuUtilityNpSigninUpdate
0x04B7072C sceUtilityNpSigninGetStatus
0x5C7D32CF sceUtilityNpSigninUpdate
0x88820B7B sceUtilityNpSigninShutdownStart
0x954AB786 sceUtilityNpSigninInitStart
0x8ABEF128 sceNetGetLocalEtherAddr
0x960BA7B1 sceNetTerm
0x8FB44FDB sceNetInit
0x5410AFE1 sceNetFreeThreadinfo
0x4C7F99D5 sceNetEtherNtostr
0xC729E032 sceNetThreadAbort
